sd,mud,ratio,n_runs,n_censored,median_tfix,median_tfix_ratio,median_tfix_ratio_lo,median_tfix_ratio_hi,frac_nonzero_diff,frac_nonzero_diff_lo,frac_nonzero_diff_hi,frac_nonzero_diff_full,p_click,mean_clicks,mean_abs_dmeank,mean_fitgap,tau_fix_median_div
0.0025,6.25e-05,0.025,96,0,512347.0,0.8949019025619305,0.716785139616733,1.0298297935631293,0.03125,0.0,0.07291666666666667,0.1875,0.03125,0.015625,0.16841552770365462,0.00042103881925913654,14067.019015167596
0.0025,0.000125,0.05,96,0,459458.0,0.8025221936447358,0.6485223260814311,0.9440866325898613,0.07291666666666667,0.020833333333333332,0.125,0.3541666666666667,0.07291666666666667,0.036458333333333336,0.2951064940889405,0.0007377662352223513,12614.896588973632
0.0025,0.0001875,0.075,96,0,470631.5,0.8220386276402032,0.6947563824056546,0.9543292391907938,0.14583333333333334,0.08333333333333333,0.22916666666666666,0.5,0.14583333333333334,0.07291666666666667,0.3480863668848686,0.0008702159172121715,12921.676636414088
0.0025,0.00025,0.1,96,0,458786.0,0.8013484303973241,0.6503502924820019,0.9099083503962698,0.23958333333333334,0.15625,0.3229166666666667,0.6041666666666666,0.25,0.13020833333333334,0.463689247032675,0.0011592231175816875,12596.44613102581
0.0025,0.000375,0.15,96,0,466705.0,0.8151803219988909,0.7006613468932893,0.9113052128702426,0.3854166666666667,0.2916666666666667,0.4791666666666667,0.8333333333333334,0.3958333333333333,0.22395833333333334,0.6578210550780118,0.0016445526376950295,12813.870500800811
0.0025,0.0005,0.2,96,0,427112.0,0.7460243573340553,0.6318853109506898,0.8629372418938814,0.6354166666666666,0.5416666666666666,0.7291666666666666,0.9166666666666666,0.6666666666666666,0.40625,0.7976444128705649,0.0019941110321764124,11726.803564003034
0.0025,0.00075,0.3,96,0,363094.5,0.6342068146388539,0.5101735084304778,0.7470162222735717,0.7916666666666666,0.7083333333333334,0.875,0.9375,0.8333333333333334,0.6770833333333334,1.050313020751321,0.0026257825518783023,9969.136612106191
0.0025,0.001,0.4,288,0,320056.5,0.5590335666595344,0.49667991517287113,0.6223420841323107,0.8611111111111112,0.8159722222222222,0.8993055555555556,0.9826388888888888,0.9340277777777778,1.0659722222222223,1.1685673510581518,0.0029214183776453797,8787.483622287215
0.0025,0.0015,0.6,288,0,311062.0,0.5433231298606592,0.48353669863433996,0.6045350844239216,0.9166666666666666,0.8854166666666666,0.9479166666666666,0.9930555555555556,0.9756944444444444,1.7864583333333333,1.4316197726730495,0.003579049431682624,8540.530282984117
0.0025,0.002,0.8,288,0,305704.5,0.5339653373040999,0.48069498171149333,0.5888351565629353,0.9618055555555556,0.9409722222222222,0.9826388888888888,0.9965277777777778,1.0,2.578125,1.6703365361683373,0.004175841340420843,8393.434556115879
0.0025,0.003,1.2,288,0,258127.0,0.4508630740545049,0.40135032990094277,0.49642887072214337,0.9479166666666666,0.9201388888888888,0.9722222222222222,0.9965277777777778,1.0,4.442708333333333,2.043769112406477,0.005109422781016193,7087.144879013961
0.0025,0.0045000000000000005,1.8,96,0,215181.5,0.37585139318885447,0.31521712382964084,0.4328859778433891,0.9895833333333334,0.96875,1.0,1.0,1.0,6.833333333333333,2.527520928107574,0.006318802320268935,5908.031572766672
0.0025,0.006750000000000001,2.7,96,0,200168.0,0.3496277406367491,0.30462265371013897,0.387306963394461,1.0,1.0,1.0,1.0,1.0,11.442708333333334,3.3982326775258116,0.008495581693814529,5495.820337052949
0.0025,0.01,4.0,96,0,185742.5,0.3244311309261289,0.28425482007042024,0.3586461215271688,1.0,1.0,1.0,1.0,1.0,18.161458333333332,3.7242999740982334,0.009310749935245584,5099.753252043571
0.0025,0.016,6.4,96,0,193697.0,0.3383250293659146,0.27771804739331585,0.38543692580179184,1.0,1.0,1.0,1.0,1.0,32.505208333333336,4.839695603404682,0.012099239008511705,5318.152311189327
0.01,0.0005,0.05,96,0,614408.0,1.073168942434074,0.8539390737730843,1.3489979723919108,0.0,0.0,0.0,0.25,0.0,0.0,0.10803142234687124,0.0010803142234687125,16869.209772031634
0.01,0.001,0.1,96,0,494396.0,0.8635474024811469,0.6544741008834739,1.090271295973407,0.0,0.0,0.0,0.5208333333333334,0.0,0.0,0.17192492621744584,0.0017192492621744585,13574.155666028686
0.01,0.0015,0.15,96,0,501023.5,0.8751234678415943,0.7259212599645977,1.0539313635968959,0.010416666666666666,0.0,0.03125,0.6458333333333334,0.010416666666666666,0.005208333333333333,0.2207292834422401,0.002207292834422401,13756.120561935217
0.01,0.002,0.2,96,0,375222.5,0.6553904465802355,0.5483828892895559,0.794396961720269,0.041666666666666664,0.010416666666666666,0.08333333333333333,0.78125,0.041666666666666664,0.026041666666666668,0.27535854114588537,0.0027535854114588538,10302.123448402594
0.01,0.003,0.3,96,0,373044.5,0.6515861960551425,0.5319468721479494,0.8515589424988463,0.16666666666666666,0.09375,0.23958333333333334,0.9166666666666666,0.16666666666666666,0.08333333333333333,0.4103709099886624,0.004103709099886624,10242.324196303849
0.01,0.004,0.4,96,0,285684.0,0.49899610055587823,0.41788145195354937,0.5781632469667917,0.4166666666666667,0.3229166666666667,0.5104166666666666,0.96875,0.4166666666666667,0.20833333333333334,0.5492158034919611,0.005492158034919611,7843.750935067717
0.01,0.005,0.5,96,0,239157.0,0.4177287157161135,0.36639888888444366,0.5018835837622151,0.625,0.53125,0.71875,1.0,0.6354166666666666,0.375,0.7429605084336998,0.007429605084336998,6566.303826528577
0.01,0.006,0.6,96,0,209469.0,0.3658735322501059,0.30646980884098174,0.41546221815027035,0.8229166666666666,0.75,0.8958333333333334,1.0,0.875,0.734375,0.9979934414845005,0.009979934414845005,5751.188952190881
0.01,0.008,0.8,96,0,183733.0,0.32092119454863827,0.27913701019621606,0.37761836476094673,0.9375,0.8854166666666666,0.9791666666666666,1.0,1.0,1.5520833333333333,1.4078155229178586,0.014078155229178586,5044.580342451089
0.01,0.012,1.2,96,0,157146.0,0.2744824394014157,0.2362119602922409,0.31309095910971974,0.9583333333333334,0.9166666666666666,0.9895833333333334,1.0,1.0,3.9427083333333335,1.6846607192224703,0.016846607192224704,4314.606643851778
