criterion,sd,onset,onset_lo,onset_hi,ridge,ridge_lo,ridge_hi,onset_over_ridge,oor_lo,oor_hi
"window_0.05-0.85_ownlife (primary, round-5 definition)",0.0025,0.1711413079105153,0.1536394771111484,0.18691004664704694,0.9364893696883299,0.386041083617006,1.1841171863741273,0.18274773152787874,0.1422222157147903,0.44840784281880447
"window_0.05-0.85_ownlife (primary, round-5 definition)",0.01,0.43734482957731124,0.39618257171509486,0.47817624989501856,0.39913412644865504,0.3405255582720851,0.4808548917736097,1.0957339916499764,0.9054358577891808,1.3096208063983974
"window_0.05-0.85_ownlife (primary, round-5 definition)",0.04,0.8137476498147929,0.7940222091968845,0.845159932324723,0.6379847275260276,0.529154014329177,0.720274359099713,1.2754970686686142,1.128083259445051,1.5446165134855339
full_run_to_fixation,0.0025,0.075,0.0618312865137299,0.09085602964160698,0.9364893696883299,0.386041083617006,1.1841171863741273,0.0800863335212876,0.05917840760458007,0.19511405710999638
full_run_to_fixation,0.01,0.09480775143391715,0.07911746213876143,0.11870614184825261,0.39913412644865504,0.3405255582720851,0.4808548917736097,0.23753356366061898,0.18399666361725525,0.3135087749170118
full_run_to_fixation,0.04,0.13195079107728946,0.10717734625362935,0.16026953645410272,0.6379847275260276,0.529154014329177,0.720274359099713,0.20682437272278797,0.16534419609273474,0.2739079285848641
at_neutral_median_Tfix_absolute_time,0.0025,0.11350853499316632,0.09440875112949024,0.1370755092960868,0.9364893696883299,0.386041083617006,1.1841171863741273,0.12120643187967285,0.0903580277800804,0.3025424241360862
at_neutral_median_Tfix_absolute_time,0.01,0.17599554244151644,0.1526366551906205,0.20921638372864296,0.39913412644865504,0.3405255582720851,0.4808548917736097,0.44094335908447224,0.3541115758430252,0.5657172781554489
at_neutral_median_Tfix_absolute_time,0.04,0.265172365514798,0.2360844207796141,0.3223709795470625,0.6379847275260276,0.529154014329177,0.720274359099713,0.41564061657569984,0.34804215312975956,0.5421114131495467
at_half_own_T_end,0.0025,0.47134078931623324,0.405728136489324,0.5321742869523838,0.9364893696883299,0.386041083617006,1.1841171863741273,0.5033060754048908,0.38463365456561627,1.2744909896454641
at_half_own_T_end,0.01,0.710217222269541,0.6629771002052635,0.7748326363621785,0.39913412644865504,0.3405255582720851,0.4808548917736097,1.779394883090519,1.449986195691001,2.141204798996174
at_half_own_T_end,0.04,1.0353379711415596,0.9776268849012703,1.0914579237624271,0.6379847275260276,0.529154014329177,0.720274359099713,1.6228256358994444,1.3988839899633967,1.969556499523386
p_click_window (any clone clicks),0.0025,0.16755007218992649,0.15,0.18053448759606217,0.9364893696883299,0.386041083617006,1.1841171863741273,0.1789129461722436,0.13926363346986925,0.44147276158242027
p_click_window (any clone clicks),0.01,0.4354899043485036,0.39618257171509486,0.47081300419803823,0.39913412644865504,0.3405255582720851,0.4808548917736097,1.0910866184841888,0.8973827077648934,1.295162931802421
p_click_window (any clone clicks),0.04,0.8137476498147929,0.7940222091968845,0.845159932324723,0.6379847275260276,0.529154014329177,0.720274359099713,1.2754970686686142,1.128083259445051,1.5446165134855339
