nu,theta,f1,K,A,g,g_lo,g_hi
5e-06,0.4,0.8531951904296875,2.1673177083333335,1.9774939231282946,2.069566551246005,1.6920032595013106,2.6043617513698676
5e-06,0.8,0.9471812778049046,1.7688802083333335,4.33725764988455,1.0552199823423605,0.9804230262941246,1.1679960213305103
2e-05,0.4,0.6684475792778863,5.078645833333334,1.9759665144596652,2.06722118354285,1.508842406413904,2.5686749975721574
2e-05,0.8,0.8096860673692492,4.1015625,4.045996509412121,1.005226208595866,0.9158876689177922,1.0979698868188454
5e-05,0.4,0.528662109375,9.702083333333334,1.6038244237916626,1.4338533081660028,1.0985093917585924,1.7471503067924856
5e-05,0.8,0.6634201388888888,8.590833333333332,3.4545990538878577,0.8915793896965524,0.8286264061105193,0.9639105739761844
0.00015,0.4,0.3224322509765625,24.387916666666666,1.5244244789303325,1.2797381870069382,0.9701178665765896,1.5419427533754204
0.00015,0.8,0.43934641520182294,22.402083333333334,2.418712142301748,0.6352103386319838,0.556682356475877,0.7186277166106331
0.0005,0.4,0.16415365804036458,67.36463333333333,1.3582294246211553,0.9293571939478809,0.6719967491029141,1.0656393863465303
0.0005,0.8,0.22648923068576388,63.63065,1.7591323341116216,0.4062110916027596,0.3353860668539502,0.48227589231312834
0.0015,0.4,0.07796181640625,164.27,1.1290257411740938,0.3683503167134826,0.21858701804560857,0.5725316024145852
0.0015,0.8,0.09888037109374999,161.33360000000002,1.3469035257729889,0.21417951706332614,0.1780177122101264,0.2637747232262223
