local_population,N_eff,theta_star_naive_Haigh_lnN,theta_star_measured_census_expected_n0_eq_1,theta_star_measured_census_P_absent_half
opposite-clone Moore contacts,2.905,1.0664333903038745,0.42261700626496984,0.5621646921224106
opposite+self,3.905,1.3622577832916491,0.5352504419324252,0.6747981277898659
same-clone Moore contacts,5.096,1.6284559182698621,0.6366038503111057,0.7761515361685464
same+self,6.096,1.807632818384345,0.7048244241735616,0.8443721100310024
full Moore neighbourhood,8.0,2.0794415416798357,0.8083140317747206,0.9478617176321613
Moore patch incl self,9.0,2.1972245773362196,0.8531592449612785,0.9927069308187193
32-cell column,32.0,3.4657359027997265,1.3361376340217679,1.4756853198792086
3-column band per side,96.0,4.564348191467836,1.7544279423003324,1.8939756281577733
