L_short,theta,nruns,same_pc,same_pc_se,opp_pc,opp_pc_se,wall_pc,wall_pc_se,nbd_cells,nbd_cells_se,f0_band,f0_band_se,n0_col,n0_col_se,n0_nbhd,n0_nbhd_se,pabs_band,pabs_band_se,n0_opp_pc,n0_opp_pc_se,n0_same_pc,n0_same_pc_se,f_self0,f_self0_se,pabs_opp,pabs_opp_se,pabs_nbr,pabs_nbr_se,pabs_pat,pabs_pat_se,exload_bd,exload_bd_se,f0_global,f0_global_se
32,0.05,64,5.084298635188633,0.0015303411192074147,2.911713193761802,0.0013020839452758512,0.0039881710495652195,0.0005263690618478139,1297.130418555067,42.34344903537244,0.8996507866459952,0.00378348008690071,14.632143142754954,1.2150175937442445,7.1972062931679615,0.03026784069520568,0.00034586528079091005,0.00020969261810482935,2.61126362651466,0.009049700224644196,4.578245172756919,0.011837431495437542,0.8990782309547766,0.0025828195682916885,0.07718414100825804,0.002986944784337442,0.0030691610712559516,0.00024221280159404698,0.0028423978622518506,0.00023346768516285476,0.10604653180774727,0.002790645247460501,0.9036632210671024,0.001487661016307485
32,0.1,64,5.086348573280756,0.0017675523689688018,2.910236816956749,0.0015578679765527541,0.0034146097624943098,0.000489084092232468,1201.0960738284216,46.20583126884585,0.7902199891908647,0.006810225188344241,11.217360362121106,0.8494946885990031,6.321759913526917,0.05448180150675393,0.0016057875361292,0.000698452633662515,2.3015222898710794,0.015855881516426945,4.068438580101162,0.022680590379106507,0.7965258327258418,0.0047870745080391165,0.1641805639222074,0.0054698867996634416,0.015200403686068049,0.0012632731978210077,0.014561319560112139,0.0012356578164561115,0.22526383076224113,0.00538717143943504,0.8114769559427383,0.002532355638450832
32,0.15,64,5.0863739968580735,0.001344085639214466,2.910299277105948,0.0012610674553948837,0.0033267260359782238,0.0004262239598187543,1173.777245177916,38.89326994419801,0.7162817127231894,0.0053445051317262005,11.696082768369736,1.3307010406639186,5.730253701785515,0.042756041053809604,0.001919940802314538,0.0005726110456806815,2.0681216049668483,0.012255690400610857,3.666517291795127,0.017892623999096968,0.7170204960380133,0.0037518255418206273,0.23079999072849525,0.004351195227504395,0.03361814474654178,0.0014477954579771293,0.032508639675930893,0.0014265763973932057,0.32821346180592204,0.004609682666205865,0.7299245825748081,0.0026550311011455424
32,0.2,64,5.090976078760899,0.0016833763624973619,2.9066441159878567,0.0015353019940432702,0.0023798052512441995,0.00036677319935766664,1143.2079416886118,41.64936920994415,0.6433000484473533,0.006971532687252505,8.16395072606309,0.5921743396568133,5.146400387578827,0.05577226149802004,0.005913171269201416,0.0011109110364106568,1.86031604987424,0.01720406555180068,3.313376883161239,0.028319610687862852,0.6467302287443113,0.005679956638584643,0.29200942798130963,0.0060611874573005455,0.05775472071594192,0.0030002122843467197,0.05626752369429455,0.002964190698919699,0.4336585112460312,0.007360426870566009,0.6506955974495029,0.003376546225927607
32,0.3,64,5.0956508480253095,0.0012912229402054266,2.9023097159335545,0.0012348511225912504,0.002039436041136194,0.00034404895683215486,1020.5566481592031,32.07854648616671,0.48675795026149127,0.007335249026226904,5.4670404577262754,0.4527530400007744,3.89406360209193,0.05868199220981523,0.031631323494323176,0.004159780853292032,1.424315588936172,0.017816083933716045,2.57896681862514,0.029307145051545188,0.5004561519900083,0.005879460087247797,0.435944126248019,0.006688862249542747,0.14027152286278677,0.0053813426438173795,0.13773966656056913,0.00535261205865315,0.6824621128299695,0.009465700845555546,0.5168830717826949,0.003424273959332326
32,0.4,64,5.090844537853794,0.0016659568465205781,2.9069373225491173,0.0015915367143063137,0.0022181395970886707,0.0003988828954780718,1031.6859579873403,37.48568932472171,0.3862079773798206,0.009015020583156723,4.51414530359518,0.40390145769204877,3.089663819038565,0.07212016466525378,0.0904530308239578,0.011247818675271816,1.1133080200436063,0.02150695541335729,2.0214657192543593,0.03699443868287074,0.3918386755390716,0.0072821103029413956,0.5457814005601622,0.008388035012872469,0.2478565231891313,0.010207588779152814,0.24487421639856935,0.010212543050013786,0.9123879403310554,0.014349334530030707,0.4004589941295666,0.005100112481512435
32,0.5,64,5.096305070884566,0.002049035542922004,2.9023826456873696,0.0019519594958066029,0.0013122834280649915,0.0003011033384637301,934.2809588890071,29.544509180155533,0.26544839112137203,0.011360797812874496,2.4143030574366153,0.16080992404654115,2.1235871289709762,0.09088638250299597,0.23363444288164054,0.023275992308532067,0.781881452917141,0.029447158162440583,1.4428376623220773,0.05232806383693966,0.2780701996442968,0.010196749811867014,0.6733363963189003,0.012109174330616243,0.40281485171206705,0.0185475110682556,0.3997808352416859,0.018605509586617087,1.2317946011518965,0.02663902865514085,0.3052126578762402,0.007689306089825782
32,0.6,64,5.09748699938343,0.001730968192233271,2.9016205682934895,0.001664358289306821,0.0008924323230801735,0.0002637369693861454,891.152543381252,34.44760919574162,0.1997615901484047,0.00883084640871289,2.1159286184582187,0.2868695052871477,1.5980927211872376,0.07064677126970312,0.3090391290011407,0.020492451369897892,0.584386512492482,0.022233145878701108,1.0875109279353794,0.03833356537731366,0.2089132046397567,0.007539433178437589,0.7486203874919426,0.009484653064826286,0.5059176410828624,0.01563035464376533,0.5028750926374558,0.015706744112378636,1.4968926775927887,0.024250744728103502,0.2304358014209726,0.006567980038148009
32,0.8,64,5.101993210920652,0.0016781973464030854,2.8975034188673274,0.001681818072566678,0.0005033702120211884,0.0002079568549055464,782.3774038633912,20.129676584412927,0.09238124423964035,0.007766347549210865,0.7442646762692107,0.09654073715220225,0.7390499539171228,0.06213078039368692,0.5849846581035976,0.026228085721669056,0.28147112851983724,0.020830400192842612,0.5411528202698576,0.038302202570879636,0.10283219680813299,0.007393569623540315,0.8754775165964944,0.0090685572741752,0.7293103881341602,0.017835013951545686,0.7272736598643407,0.017953085369067836,2.151886336989569,0.04455590487521442,0.13353804796937396,0.005283034453512962
32,1.0,64,5.099271312552988,0.0019170348408056189,2.900144083890036,0.0019099531909434458,0.0005846035569763877,0.00022477052162401124,830.832926372798,36.19344090030119,0.07735867760285334,0.007827139166077569,0.6706375911358055,0.09190847258581405,0.6188694208228267,0.06261711332862055,0.6352199724964664,0.025278741733274806,0.22130851130194443,0.01885806933688142,0.4194562549475204,0.033581338249603646,0.0800643927880769,0.006551046281628296,0.89926896408232,0.008531649150874917,0.7804277090116708,0.016562187129263682,0.7786342314505753,0.016679708018234474,2.528430542423607,0.05488724483507068,0.09216626358329187,0.0033506846289253216
32,1.5,64,5.1046346417518,0.002312738885592386,2.894613410322742,0.0022497037173466877,0.0007519479254575172,0.0002534856155010474,748.7430218741882,25.366826977382146,0.029533774187479364,0.0034098185886154973,0.19989322984355953,0.025005250625780392,0.2362701934998349,0.027278548708923978,0.8023767684189435,0.017751810018966578,0.08768955379929295,0.008749818327148006,0.16995212109590704,0.01666072011100667,0.032110538730507905,0.0031477229637281437,0.9581878885203843,0.00413907912651773,0.9019959721940318,0.009314947020653492,0.901034983305643,0.009405989037658307,3.597058470560998,0.07348389605536919,0.04255093093331549,0.0018128461937296735
